     Freq.           Exact            RS              BF              PF              QWC             FC              CGF      
       42.05274         0.00092         0.00095         0.00123         0.00099         0.00070         0.00076         0.00100
       42.59888         0.00091         0.00099         0.00109         0.00108         0.00075         0.00087         0.00108
       43.14502         0.00091         0.00104         0.00095         0.00116         0.00080         0.00099         0.00116
       43.69116         0.00090         0.00109         0.00081         0.00125         0.00087         0.00110         0.00124
       44.23729         0.00090         0.00113         0.00067         0.00132         0.00094         0.00121         0.00131
       44.78343         0.00090         0.00116         0.00055         0.00138         0.00100         0.00131         0.00136
       45.32957         0.00090         0.00119         0.00043         0.00143         0.00107         0.00140         0.00140
       45.87571         0.00090         0.00121         0.00032         0.00147         0.00113         0.00147         0.00143
       46.42185         0.00090         0.00122         0.00023         0.00149         0.00119         0.00152         0.00144
       46.96799         0.00090         0.00122         0.00016         0.00149         0.00124         0.00155         0.00144
       47.51413         0.00090         0.00121         0.00011         0.00147         0.00128         0.00156         0.00141
       48.06027         0.00090         0.00119         0.00007         0.00144         0.00130         0.00155         0.00137
       48.60641         0.00090         0.00116         0.00006         0.00139         0.00132         0.00152         0.00132
       49.15255         0.00090         0.00112         0.00007         0.00133         0.00132         0.00146         0.00125
       49.69869         0.00090         0.00108         0.00010         0.00126         0.00130         0.00139         0.00117
       50.24483         0.00090         0.00103         0.00015         0.00117         0.00127         0.00130         0.00109
       50.79097         0.00090         0.00097         0.00022         0.00108         0.00123         0.00119         0.00099
       51.33711         0.00089         0.00091         0.00030         0.00099         0.00118         0.00108         0.00090
       51.88325         0.00089         0.00085         0.00040         0.00089         0.00112         0.00095         0.00080
       52.42939         0.00088         0.00080         0.00051         0.00079         0.00105         0.00083         0.00071
       52.97553         0.00088         0.00074         0.00063         0.00071         0.00097         0.00070         0.00062
       53.52167         0.00087         0.00069         0.00075         0.00062         0.00089         0.00058         0.00054
       54.06780         0.00086         0.00064         0.00088         0.00055         0.00081         0.00047         0.00048
       54.61394         0.00085         0.00061         0.00100         0.00050         0.00073         0.00037         0.00042
       55.16008         0.00084         0.00058         0.00112         0.00045         0.00066         0.00029         0.00039
       55.70622         0.00084         0.00056         0.00124         0.00042         0.00059         0.00023         0.00037
       56.25236         0.00083         0.00055         0.00134         0.00041         0.00053         0.00019         0.00036
       56.79850         0.00082         0.00055         0.00143         0.00042         0.00048         0.00017         0.00038
       57.34464         0.00081         0.00056         0.00150         0.00044         0.00044         0.00018         0.00041
       57.89078         0.00081         0.00058         0.00156         0.00048         0.00042         0.00020         0.00045
       58.43692         0.00080         0.00061         0.00160         0.00053         0.00041         0.00025         0.00051
       58.98306         0.00080         0.00065         0.00162         0.00059         0.00042         0.00032         0.00058
       59.52920         0.00080         0.00069         0.00162         0.00067         0.00044         0.00041         0.00066
       60.07534         0.00079         0.00074         0.00160         0.00075         0.00047         0.00050         0.00074
       60.62148         0.00079         0.00079         0.00156         0.00083         0.00052         0.00062         0.00083
       61.16762         0.00080         0.00084         0.00150         0.00091         0.00057         0.00073         0.00091
       61.71376         0.00080         0.00089         0.00142         0.00100         0.00064         0.00085         0.00100
       62.25990         0.00080         0.00094         0.00133         0.00107         0.00071         0.00097         0.00108
       62.80604         0.00081         0.00098         0.00122         0.00114         0.00078         0.00108         0.00114
       63.35218         0.00081         0.00102         0.00111         0.00120         0.00085         0.00118         0.00120
       63.89831         0.00082         0.00104         0.00098         0.00125         0.00093         0.00127         0.00124
       64.44445         0.00082         0.00106         0.00085         0.00128         0.00099         0.00134         0.00127
       64.99059         0.00082         0.00107         0.00072         0.00129         0.00106         0.00139         0.00128
       65.53673         0.00083         0.00107         0.00060         0.00129         0.00111         0.00143         0.00127
       66.08287         0.00083         0.00106         0.00047         0.00128         0.00115         0.00143         0.00125
       66.62901         0.00083         0.00104         0.00036         0.00125         0.00118         0.00142         0.00121
       67.17515         0.00083         0.00102         0.00025         0.00120         0.00119         0.00138         0.00116
       67.72129         0.00083         0.00098         0.00016         0.00114         0.00119         0.00132         0.00109
       68.26743         0.00083         0.00093         0.00008         0.00107         0.00118         0.00124         0.00102
       68.81357         0.00082         0.00088         0.00002         0.00099         0.00115         0.00115         0.00093
       69.35971         0.00082         0.00083        -0.00002         0.00090         0.00111         0.00104         0.00084
       69.90585         0.00081         0.00077        -0.00004         0.00081         0.00105         0.00092         0.00074
       70.45199         0.00080         0.00071        -0.00004         0.00072         0.00099         0.00079         0.00065
       70.99813         0.00079         0.00066        -0.00003         0.00063         0.00091         0.00066         0.00056
